MSZoning_C (ALL),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_BNK,LandContour_HLS,LandContour_LOW,LandContour_LVL,HouseStyle_1.5FIN,HouseStyle_1.5UNF,HouseStyle_1STORY,HouseStyle_2.5FIN,HouseStyle_2.5UNF,HouseStyle_2STORY,HouseStyle_SFOYER,HouseStyle_SLVL,Electrical_FUSEA,Electrical_FUSEF,Electrical_FUSEP,Electrical_MIX,Electrical_SBRKR,Electrical_UNKNOWN,LotArea,Street,Utilities,YearBuilt,TotalBsmtSF,CentralAir,1stFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,MoSold,YrSold,SalePrice
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0331860992311108,1.0,1.0,0.6159420289855078,0.21505728314238953,1.0,0.22487379531895366,0.5,0.0,0.375,0.3333333333333333,0.24999999999999997,0.0,0.25,0.4545454545454545,1.0,145000
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008787305148519478,1.0,1.0,0.9637681159420293,0.09819967266775778,1.0,0.042680128499311604,0.75,0.5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.5,0.2727272727272727,0.0,144152
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.022529154689289302,1.0,1.0,0.46376811594202927,0.04320785597381342,0.0,0.10692978430472694,0.5,0.0,0.125,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.75,60000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.047273832059641495,1.0,1.0,0.27536231884058004,0.11914893617021277,0.0,0.18402937127122534,0.5,0.0,0.375,0.3333333333333333,0.5,0.0,0.5,0.8181818181818182,0.75,167500
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04344107130337236,1.0,1.0,0.3913043478260878,0.12569558101472997,0.0,0.1044056906837999,0.5,0.0,0.25,0.3333333333333333,0.24999999999999997,0.0,0.25,0.4545454545454545,0.25,96500
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03972983710766786,1.0,1.0,0.72463768115942,0.1463175122749591,1.0,0.12849931161083064,0.5,0.0,0.375,0.3333333333333333,0.24999999999999997,0.0,0.5,0.5454545454545454,0.0,149900
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04959685900581925,1.0,1.0,0.9637681159420293,0.11194762684124387,1.0,0.08031206975676916,0.75,0.5,0.375,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.5,0.1818181818181818,0.75,174000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03627100423005913,1.0,1.0,0.4855072463768124,0.0916530278232406,1.0,0.08352455254703992,0.5,0.0,0.25,0.3333333333333333,0.33333333333333337,0.0,0.25,0.8181818181818182,0.75,105000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0504335226343219,1.0,1.0,0.7898550724637676,0.23273322422258594,1.0,0.24965580541532814,0.75,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.5,0.4545454545454545,0.5,175500
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.053004276800112174,1.0,1.0,0.7536231884057969,0.28281505728314243,1.0,0.3198715006883892,0.75,0.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.5454545454545454,0.0,150900
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0331860992311108,1.0,1.0,0.6811594202898554,0.13322422258592473,1.0,0.13285910968334097,0.5,0.0,0.375,0.3333333333333333,0.33333333333333337,0.0,0.25,0.36363636363636365,0.25,129000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.031882025754282645,1.0,1.0,0.9275362318840585,0.15597381342062194,1.0,0.14203763194125746,0.75,0.5,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.5,0.0,0.0,172400
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.049451961952838346,1.0,1.0,0.7681159420289863,0.20801963993453357,1.0,0.2907296925195043,0.75,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.5,0.2727272727272727,0.75,157000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05749141134403702,1.0,1.0,0.20289855072463858,0.10834697217675943,0.0,0.24965580541532814,0.75,0.0,0.625,0.6666666666666666,0.6666666666666666,0.0,0.5,0.7272727272727273,0.25,90000
